Timestamp,Vehicle,License Plate,Violation
2025-11-27 23:54:25,bus,Unknown,OK
2025-11-27 23:54:25,motorcycle,Unknown,OK
2025-11-27 23:54:33,car,Unknown,OK
2025-11-27 23:54:33,car,Unknown,OK
2025-11-27 23:54:33,motorcycle,Unknown,OK
2025-11-27 23:54:33,bus,Unknown,OK
2025-11-27 23:54:33,motorcycle,Unknown,OK
2025-11-27 23:54:41,car,Unknown,OK
2025-11-27 23:54:41,car,Unknown,OK
2025-11-27 23:54:41,bus,Unknown,OK
2025-11-27 23:54:41,motorcycle,Unknown,OK
2025-11-27 23:54:41,motorcycle,Unknown,OK
2025-11-27 23:54:48,car,Unknown,OK
2025-11-27 23:54:48,car,Unknown,OK
2025-11-27 23:54:48,bus,Unknown,OK
2025-11-27 23:54:48,motorcycle,Unknown,OK
2025-11-27 23:54:48,motorcycle,Unknown,OK
2025-11-27 23:54:56,car,Unknown,OK
2025-11-27 23:54:56,car,Unknown,OK
2025-11-27 23:54:56,bus,Unknown,OK
2025-11-27 23:54:56,motorcycle,Unknown,OK
2025-11-27 23:54:56,motorcycle,Unknown,OK
2025-11-27 23:55:03,car,Unknown,OK
2025-11-27 23:55:03,car,Unknown,OK
2025-11-27 23:55:03,bus,Unknown,OK
2025-11-27 23:55:03,motorcycle,Unknown,OK
2025-11-27 23:55:03,motorcycle,Unknown,OK
2025-11-27 23:55:12,car,Unknown,OK
2025-11-27 23:55:12,car,Unknown,OK
2025-11-27 23:55:12,bus,Unknown,OK
2025-11-27 23:55:12,motorcycle,Unknown,OK
2025-11-27 23:55:12,motorcycle,Unknown,OK
2025-11-27 23:55:19,bus,Unknown,OK
2025-11-27 23:55:19,motorcycle,Unknown,OK
2025-11-27 23:55:19,car,Unknown,OK
2025-11-27 23:55:19,motorcycle,Unknown,OK
2025-11-27 23:55:19,car,Unknown,OK
2025-11-27 23:55:27,car,Unknown,OK
2025-11-27 23:55:27,bus,Unknown,OK
2025-11-27 23:55:27,motorcycle,Unknown,OK
2025-11-27 23:55:27,motorcycle,Unknown,OK
2025-11-27 23:55:34,car,Unknown,OK
2025-11-27 23:55:34,bus,Unknown,OK
2025-11-27 23:55:34,motorcycle,Unknown,OK
2025-11-27 23:55:34,motorcycle,Unknown,OK
2025-11-27 23:55:44,car,Unknown,OK
2025-11-27 23:55:44,bus,Unknown,OK
2025-11-27 23:55:44,motorcycle,Unknown,OK
2025-11-27 23:55:44,motorcycle,Unknown,OK
2025-11-27 23:55:52,car,Unknown,OK
2025-11-27 23:55:52,motorcycle,Unknown,OK
2025-11-27 23:55:52,motorcycle,Unknown,OK
2025-11-27 23:55:52,bus,Unknown,OK
2025-11-27 23:55:59,car,Unknown,OK
2025-11-27 23:55:59,motorcycle,Unknown,OK
2025-11-27 23:55:59,motorcycle,Unknown,OK
2025-11-27 23:55:59,bus,Unknown,OK
2025-11-27 23:56:03,car,Unknown,OK
2025-11-27 23:56:03,motorcycle,Unknown,OK
2025-11-27 23:56:03,motorcycle,Unknown,OK
2025-11-27 23:56:11,motorcycle,Unknown,OK
2025-11-27 23:56:11,car,Unknown,OK
2025-11-27 23:56:11,motorcycle,Unknown,OK
2025-11-27 23:56:11,truck,Unknown,OK
2025-11-27 23:56:19,car,Unknown,OK
2025-11-27 23:56:19,motorcycle,Unknown,OK
2025-11-27 23:56:19,motorcycle,Unknown,OK
2025-11-27 23:56:19,bus,Unknown,OK
2025-11-27 23:56:32,bus,Unknown,OK
2025-11-27 23:56:32,motorcycle,Unknown,OK
2025-11-27 23:56:32,motorcycle,Unknown,OK
2025-11-27 23:56:39,motorcycle,Unknown,OK
2025-11-27 23:56:39,motorcycle,Unknown,OK
2025-11-27 23:56:39,truck,Unknown,OK
2025-11-27 23:56:46,truck,Unknown,OK
2025-11-27 23:56:46,motorcycle,Unknown,OK
2025-11-27 23:56:46,motorcycle,Unknown,OK
2025-11-27 23:56:54,car,Unknown,OK
2025-11-27 23:56:54,motorcycle,Unknown,OK
2025-11-27 23:56:54,motorcycle,Unknown,OK
2025-11-27 23:56:54,motorcycle,Unknown,OK
2025-11-27 23:57:00,car,Unknown,OK
2025-11-27 23:57:00,motorcycle,Unknown,OK
2025-11-27 23:57:00,motorcycle,Unknown,OK
2025-11-27 23:57:06,car,Unknown,OK
2025-11-27 23:57:06,motorcycle,Unknown,OK
2025-11-27 23:57:06,motorcycle,Unknown,OK
2025-11-27 23:57:11,car,Unknown,OK
2025-11-27 23:57:11,motorcycle,Unknown,OK
2025-11-27 23:57:11,motorcycle,Unknown,OK
2025-11-27 23:57:17,car,Unknown,OK
2025-11-27 23:57:17,motorcycle,Unknown,OK
2025-11-27 23:57:17,motorcycle,Unknown,OK
2025-11-27 23:57:23,car,Unknown,OK
2025-11-27 23:57:23,motorcycle,Unknown,OK
2025-11-27 23:57:23,motorcycle,Unknown,OK
2025-11-27 23:57:28,car,Unknown,OK
2025-11-27 23:57:28,motorcycle,Unknown,OK
2025-11-27 23:57:28,motorcycle,Unknown,OK
2025-11-27 23:57:35,car,Unknown,OK
2025-11-27 23:57:35,motorcycle,Unknown,OK
2025-11-27 23:57:35,motorcycle,Unknown,OK
2025-11-27 23:57:35,car,Unknown,OK
2025-11-27 23:57:42,car,Unknown,OK
2025-11-27 23:57:42,motorcycle,Unknown,OK
2025-11-27 23:57:42,motorcycle,Unknown,OK
2025-11-27 23:57:42,motorcycle,Unknown,OK
2025-11-27 23:57:48,car,SSLS4,OK
2025-11-27 23:57:48,motorcycle,Unknown,OK
2025-11-27 23:57:48,motorcycle,Unknown,OK
2025-11-27 23:57:53,car,Unknown,OK
2025-11-27 23:57:53,motorcycle,Unknown,OK
2025-11-27 23:57:53,motorcycle,Unknown,OK
2025-11-27 23:57:59,car,Unknown,OK
2025-11-27 23:57:59,motorcycle,Unknown,OK
2025-11-27 23:57:59,car,Unknown,OK
2025-11-27 23:57:59,motorcycle,Unknown,OK
2025-11-27 23:58:05,car,Unknown,OK
2025-11-27 23:58:05,motorcycle,Unknown,OK
2025-11-27 23:58:05,motorcycle,Unknown,OK
2025-11-27 23:58:11,car,Unknown,OK
2025-11-27 23:58:11,bus,Unknown,OK
2025-11-27 23:58:11,motorcycle,Unknown,OK
2025-11-27 23:58:11,motorcycle,Unknown,OK
2025-11-27 23:58:17,car,Unknown,OK
2025-11-27 23:58:17,motorcycle,Unknown,OK
2025-11-27 23:58:17,bus,Unknown,OK
2025-11-27 23:58:17,motorcycle,Unknown,OK
